FOLDER NAME,TYPE,LANGUAGE,MATHS,BOTH
Mamba_mwenye_njaa,book,1,,
Kitabu_cha_Hali_ya_Hewa,book,1,,
Maharagwe_Yanayomea,book,1,,
Meno,book,1,,
Wanyama_wa_kufugwa,book,1,,
Bi_Simu,book,1,,
Siku_Upinde_ulitembelea_kijiji,book,1,,
Marafiki,book,1,,
Mamangu_alipanda,book,1,,
Upepo,book,1,,
Akili1,video,,1,
Akili2,video,,1,
CIRKAFRICA1_MASTER_PARTIE_01,video,,,1
Akili3,video,,1,
CIRKAFRICA1_MASTER_PARTIE_02,video,,,1
Akili4,video,,1,
CIRKAFRICA1_MASTER_PARTIE_03,video,,,1
Akili6,video,,1,
CIRKAFRICA1_MASTER_PARTIE_04,video,,,1
Akili8,video,,1,
patrimath,Game,,,1
