LESSON;CHAPTER;LOWER CASE TEXT;SOUND PHONEME SYMBOL;SOUND NAME;ILLUSTRATIVE WORD;ILLUSTRATIVE WORD ENGLISH;REGULAR PHONEME;DISTRACTOR;SYLLABIC STRUCTURE;TO TRACE;;;;;
1;1;a;a;a;apple;apple;true;true;V;true;1;a;;apple;a
2;1;e;E;capital_e;elephant;elephant;true;true;V;true;1;e;;elephant;capital_e
3;1;i;I;capital_i;insect;insect;true;true;V;true;1;i;;insect;capital_i
4;1;o;o;o;otter;otter;true;true;V;true;1;o;;otter;o
5;2;u;V;capital_v;umbrella;umbrella;true;true;V;true;1;u;;umbrella;capital_v
6;2;n;n;n;nest;nest;true;true;C;true;1;n;;nest;n
7;2;m;m;m;milk;milk;true;true;C;true;1;m;;milk;m
8;2;s;s;s;stamp;stamp;true;true;C;true;1;s;;stamp;s
9;3;l;l;l;lemon;lemon;true;true;C;true;1;l;;lemon;l
10;3;r;r;r;rice;rice;true;true;C;true;1;r;;rice;r
11;3;f;f;f;fire;fire;true;true;C;true;1;f;;fire;f
12;3;t;t;t;tiger;tiger;true;true;C;true;1;t;;tiger;t
13;4;p;p;p;pineapple;pineapple;true;true;C;true;1;p;;pineapple;p
14;4;d;d;d;dog;dog;true;true;C;true;1;d;;dog;d
15;4;k;k;k;key;key;true;true;C;true;1;k;;key;k
16;4;b;b;b;bottle;bottle;true;true;C;true;1;b;;bottle;b
17;5;sh;S;capital_s;sheep;sheep;true;true;C;true;2;sh;;sheep;capital_s
18;5;c;k;k;caterpillar;caterpillar;true;true;C;true;1;c;;caterpillar;k
19;5;ck;k;k;tack;tack;true;false;C;true;2;ck;;tack;k
20;5;w;w;w;walnut;walnut;true;true;C;true;1;w;;walnut;w
21;6;g;g;g;garlic;garlic;true;true;C;true;1;g;;garlic;g
22;6;h;h;h;heart;heart;true;true;C;true;1;h;;heart;h
23;6;v;v;v;violin;violin;true;true;C;true;1;v;;violin;v
24;6;e;*;star;NA;NA;true;false;C;false;;;;NA;star
25;7;s;z;z;nose;rose;true;false;C;true;1;s;;nose;z
26;7;j;J;capital_j;jam;jam;true;true;C;true;1;j;;jam;capital_j
27;7;y;j;j;yoyo;yogurt;true;true;V;true;1;y;;yoyo;j
28;7;z;z;z;zebra;zebra;true;true;C;true;1;z;;zebra;z
29;8;x;x;x;saxophone;saxophone;true;true;V;true;1;x;;saxophone;x
30;8;ch;C;capital_c;chick;chick;true;true;V;true;2;ch;;chick;capital_c
31;8;ng;N;capital_n;ring;ring;true;true;V;true;2;ng;;ring;capital_n
32;8;th;T;capital_t;thirteen;thirteen;true;true;V;true;2;th;;thirteen;capital_t
33;9;n;N;capital_n;sink;sink;true;true;V;true;1;n;;sink;capital_n
34;9;a;e;e;snake;snake;true;true;C;true;1;a;;snake;e
35;9;e;i;i;bee;bee;true;true;V;true;1;e;;bee;i
35;9;ee;i;i;NA;NA;true;false;V;false;;;;NA;i
