LESSON;CHAPTER;NOTION ID;LECTURE VIDEO;LECTURE IMAGE;LECTURE TRACING;MINIGAME 1 SETUP;MINIGAME 2 SETUP;MINIGAME 3 SETUP
1;1;a-a;true;true;true;jellyfish;crabs;jellyfish
2;1;e-E;true;true;true;jellyfish;crabs;crabs
3;1;i-I;true;true;true;jellyfish;crabs;jellyfish
4;1;o-o;true;true;true;jellyfish;crabs;crabs
5;2;u-V;true;true;true;jellyfish;crabs;parakeets
6;2;n-n;true;true;true;jellyfish;monkeys;crabs
7;2;m-m;true;true;true;jellyfish;monkeys;crabs
8;2;s-s;true;true;true;jellyfish;parakeets;monkeys
9;3;l-l;true;true;true;jellyfish;crabs;frog
10;3;r-r;true;true;true;parakeets;monkeys;frog
11;3;f-f;true;true;true;crabs;parakeets;monkeys
12;3;t-t;true;true;true;crabs;ants;ants
13;4;p-p;true;true;true;crabs;frog;monkeys
14;4;d-d;true;true;true;jellyfish;frog;parakeets
15;4;k-k;true;true;true;monkeys;monkeys;frog
16;4;b-b;true;true;true;frog;ants;ants
17;5;sh-S;true;true;true;frog;monkeys;caterpillar
18;5;c-k;true;true;true;monkeys;caterpillar;parakeets
19;5;ck-k;true;true;true;frog;caterpillar;monkeys
20;5;w-w;true;true;true;monkeys;ants;ants
21;6;g-g;true;true;true;monkeys;parakeets;crabs
22;6;h-h;true;true;true;frog;turtles;caterpillar
23;6;v-v;true;true;true;monkeys;caterpillar;turtles
24;6;e-*;false;true;false;monkeys;ants;ants
25;7;s-z;true;true;true;crabs;parakeets;caterpillar
26;7;j-J;true;true;true;caterpillar;monkeys;turtles
27;7;y-j;true;true;true;monkeys;turtles;frog
28;7;z-z;true;true;true;monkeys;ants;ants
29;8;x-x;true;true;true;jellyfish;turtles;caterpillar
30;8;ch-C;true;true;true;frog;monkeys;turtles
31;8;ng-N;true;true;true;frog;monkeys;caterpillar
32;8;th-T;true;true;true;monkeys;ants;ants
33;9;n-N;true;true;true;monkeys;frog;turtles
34;9;a-e;true;true;true;jellyfish;monkeys;caterpillar
35;9;e-i;true;true;true;crabs;monkeys;monkeys
36;9;i-2;true;true;true;crabs;monkeys;caterpillar
37;10;o-5;true;true;true;crabs;monkeys;frog
38;10;u-Y;true;true;true;jellyfish;caterpillar;turtles
39;10;ea-i;true;true;true;monkeys;ants;ants
40;10;ai-e;true;true;true;crabs;monkeys;caterpillar
41;11;aw-O;true;true;true;jellyfish;crabs;frog
42;11;ir-3;true;true;true;jellyfish;crabs;caterpillar
43;11;ar-#;true;true;true;crabs;monkeys;turtles
44;11;or-$;true;true;true;crabs;ants;ants
45;12;ur-3;true;true;true;monkeys;caterpillar;frog
46;12;er-3;true;true;true;crabs;frog;turtles
47;12;tch-C;true;true;true;monkeys;monkeys;caterpillar
48;12;c-s;true;true;true;frog;ants;ants
49;13;igh-2;true;true;true;crabs;monkeys;turtles
50;13;oa-5;true;true;true;monkeys;frog;turtles
51;13;dge-J;true;true;true;monkeys;monkeys;caterpillar
52;13;ou-6;true;true;true;crabs;ants;ants
53;14;wh-w;true;true;true;frog;turtles;parakeets
54;14;ay-e;true;true;true;crabs;monkeys;turtles
55;14;g-J;true;true;true;monkeys;frog;caterpillar
56;14;oo-u;true;true;true;crabs;ants;ants
57;15;th-D;true;true;true;caterpillar;monkeys;frog
58;15;a-@;false;true;false;jellyfish;crabs;frog
59;15;ow-5;true;true;true;jellyfish;caterpillar;turtles
60;15;qu-K;true;true;true;frog;ants;ants
61;16;ow-6;true;true;true;crabs;frog;turtles
62;16;kn-n;true;true;true;jellyfish;crabs;caterpillar
63;16;oi-4;true;true;true;monkeys;crabs;turtles
64;16;air-8;true;true;true;crabs;ants;ants
65;17;eer-7;true;true;true;frog;monkeys;caterpillar
66;17;ear-7;true;true;true;crabs;frog;turtles
67;17;oo-U;true;true;true;monkeys;monkeys;turtles
68;17;y-2;true;true;true;frog;ants;ants
69;18;mb-m;true;true;true;monkeys;frog;caterpillar
70;18;al-O;true;true;true;crabs;monkeys;caterpillar
71;18;ea-E;true;true;true;caterpillar;frog;turtles
72;18;ed-d;false;true;false;monkeys;frog;turtles
73;19;wr-r;true;true;true;monkeys;turtles;caterpillar
74;19;ew-u;true;true;true;crabs;monkeys;turtles
75;19;u-U;true;true;true;frog;monkeys;caterpillar
76;19;ph-f;true;true;true;frog;ants;ants
77;20;ear-3;true;true;true;crabs;caterpillar;turtles
78;20;y-i;true;true;true;monkeys;frog;caterpillar
79;20;ie-i;true;true;true;frog;caterpillar;turtles
80;20;oy-4;true;true;true;caterpillar;ants;ants
