LESSON;CHAPTER;ORTHOGRAPHY;NB WORDS;AUDIOFILE NAME;WORD SWAP INDEX
11;3;Ann fell off.;3;;
12;3;Tim fell on mom.;4;;
12;3;Toss mom ten nuts.;4;;
12;3;Sam sat on Sal.;4;;
12;3;Let Tom run fast.;4;;
12;3;Finn must rest.;3;;
12;3;Tell Stan if mom left.;5;;
12;3;Tom ran fast past mom.;5;;
12;3;Mom must tell us.;4;;
12;3;Mom ran fast.;3;;
12;3;Sal ran last.;3;;
12;3;Tom left us.;3;;
13;4;Mom set it on top.;5;;
13;4;Pam must nap.;3;;
14;4;Pam did slip on slop.;5;;
15;4;Dan left at dusk.;4;;
15;4;Mom and dad kiss.;4;;
15;4;Mom will dress in silk.;5;;
15;4;Rick sips hot milk.;4;;
16;4;Bob sat in mud!;4;;
18;5;Can mom act fast?;4;;
18;5;Ann can drum.;3;;
19;5;Pack ten socks.;3;;
20;5;Sam will sell shrimp and fish at Shell Shack.;9;;
20;5;Pop will mop.;3;;
20;5;Sam and Tom will camp.;5;;
20;5;Sam can wish.;3;;
21;6;Dad got lost in fog.;5;;
21;6;Mom got stuck in traffic.;5;;
22;6;Hop on top!;3;;
22;6;Mom and dad hug.;4;;
24;6;Stan will add an egg and ham.;7;;
24;6;Give Tom an apple.;4;;
24;6;Hen sits on an egg.;5;;
24;6;Sal sat on pop's leg.;5;;
25;7;Ten hens peck at bugs.;5;;
25;7;Fast hands grab little crabs.;5;;
25;7;Mom will give little Sam his bottle.;7;;
25;7;Has Ann gone?;3;;
25;7;"Pop sells fish, shells and crabs.";6;;
25;7;Tom has his pants and vest on.;7;;
25;7;Pop will visit Sam and Ann.;6;;
25;7;Mom has gum.;3;;
26;7;Jon can skip.;3;;
26;7;Ten kids jump on ten beds.;6;;
26;7;Dad can jog fast.;4;;
26;7;Jump on pop!;3;;
26;7;Jan must jump on top fast.;6;;
26;7;Jess is sad and mad.;5;;
27;7;"Yum, yum, mom will pick plums.";6;;
29;8;Max can fix it!;4;;
29;8;Give Gus six candles.;4;;
29;8;Max will not jump on an ox!;7;;
30;8;An ax can chop.;4;;
30;8;Sam and Max will chomp on chips.;7;;
30;8;Dad can sing songs.;4;;
