LESSON;CHAPTER;LOWER CASE TEXT;SOUND PHONEME SYMBOL;SOUND NAME;ILLUSTRATIVE WORD;ILLUSTRATIVE WORD ENGLISH;REGULAR PHONEME;SYLLABIC STRUCTURE;TO TRACE;
1;1;a;a;a_sym001_a;ananas;;true;V;true;a-a
2;1;é;e;sym002_ez_er_e;éléphant;;true;V;true;é-e
3;1;i;i;i_y_i;pie;;true;V;true;i-i
3;1;i;j;i_y_i;-;;true;V;false;i-j
4;1;o;o;o_au_eau_o;orange;;true;V;true;o-o
4;1;ô;o;o_au_eau_o;-;;true;V;false;ô-o
5;2;u;y;u_j;bulle;;true;V;true;u-y
5;2;u;8;u_j;-;;true;V;false;u-8
5;2;û;u;u_j;-;;true;V;false;û-u
6;2;e;*;e_eu_oeu_etoile;melon;;true;V;true;e-*
7;2;y;i;i_y_i;lys;;true;V;true;y-i
8;3;l;l;l_l;lama;;true;C;true;l-l
8;3;ll;l;l_l;-;;true;C;false;ll-l
9;3;m;m;m_m;mouton;;true;C;true;m-m
9;3;mm;m;m_m;-;;true;C;false;mm-m
10;3;s;s;s_sym009_ce_ci_cy;serpent;;true;C;true;s-s
10;3;ss;s;s_sym009_ce_ci_cy;-;;true;C;false;ss-s
11;3;r;R;r_r;requin;;true;C;true;r-R
11;3;rr;R;r_r;-;;true;C;false;rr-R
12;4;ou;u;ou_u;ours;;true;V;true;ou-u
12;4;oû;u;ou_u;-;;true;V;false;oû-u
13;4;e;#;;-;;true;V;false;e-#
13;4;s;#;;-;;true;C;false;s-#
13;4;t;#;;-;;true;C;false;t-#
13;4;x;#;;-;;true;C;false;x-#
14;4;j;Z;j_ge_gi_gy_Z;journal;;true;C;true;j-Z
15;5;f;f;f_ph_f;feu;;true;C;true;f-f
15;5;ff;f;f_ph_f;-;;true;C;false;ff-f
16;5;v;v;v_v;violon;;true;C;true;v-v
17;5;eu;2;e_eu_oeu_etoile;beurre;;true;V;true;eu-2
18;5;eu;9;e_eu_oeu_etoile;-;;true;;true;eu-9
18;5;ue;9;e_eu_oeu_etoile;-;;true;;false;ue-9
19;6;z;z;z_s_z;zebre;;true;;true;z-z
19;6;zz;z;z_s_z;-;;true;;false;zz-z
20;6;ch;S;ch_smaj;cheval;;true;;true;ch-S
21;6;n;n;n_n;noix;;true;;true;n-n
21;6;nn;n;n_n;-;;true;;false;nn-n
22;6;un;1;un_1;un;;true;;true;un-1
23;7;t;t;t_t;tigre;;true;;true;t-t
23;7;tt;t;t_t;-;;true;;false;tt-t
24;7;d;d;d_d;dé;;true;;true;d-d
24;7;dd;d;d_d;-;;true;;false;dd-d
25;7;c;k;c_q_qu_k_ch;clé;;true;;true;c-k
25;7;cc;k;c_q_qu_k_ch;-;;true;;false;cc-k
26;7;p;p;p_p;pomme;;true;;true;p-p
26;7;pp;p;p_p;-;;true;;false;pp-p
27;8;q;k;c_q_qu_k_ch;coq;;true;;true;q-k
27;8;qu;k;c_q_qu_k_ch;quille;;true;;true;qu-k
28;8;b;b;b_b;ballon;;true;;true;b-b
28;8;b;p;p_p;-;;true;;false;b-p
29;8;g;g;g_gu;gorille;;true;;true;g-g
29;8;gu;g;g_gu;bague;;true;;true;gu-g
30;8;k;k;c_q_qu_k_ch;kiwi;;true;;true;k-k
30;8;ck;k;c_q_qu_k_ch;-;;true;;false;ck-k
31;9;et;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;sifflet;;true;;true;et-E
32;9;s;z;z_s_z;fraise;;true;;true;s-z
33;9;es;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;-;;true;;true;es-E
33;9;est;E;es_et_est_sym006_sym007_sym008_ecmajcmaj_et_ai_ei_ecmaj_emaj;-;;true;;true;est-E
34;9;ent;#;;-;;true;;false;ent-#
35;10;an;@;an_am_en_em_sym003;antilope;;true;;true;an-@
35;10;am;@;an_am_en_em_sym004;ampoule;;true;;true;am-@
36;10;en;@;an_am_en_em_sym005;tente;;true;;true;en-@
36;10;em;@;an_am_en_em_sym006;empreinte;;true;;true;em-@
37;10;on;§;on_om_sym004;bourdon;;true;;true;on-§
37;10;om;§;on_om_sym005;pompe;;true;;true;om-§
38;11;in;5;in_im_ym_ain_aim_5;poussin;;true;;true;in-5
38;11;im;5;in_im_ym_ain_aim_6;timbre;;true;;true;im-5
38;11;ym;5;in_im_ym_ain_aim_7;thym;;true;;true;ym-5
39;11;oi;wa;oi_wa;oie;;true;;true;oi-wa
40;11;oin;w5;oin_w5;foin;;true;;true;oin-w5
41;12;à;a;a_sym001_a;là;;true;;false;à-a
42;12;â;A;sym005_amaj;âne;;true;;true;â-A
