LESSON;ORTHOGRAPHY;PHONOLOGY;GPMATCH;NB GRAPH;NB LET;NB SYLL;AUDIOFILE NAME;IS WORD;SYLLABIC STRUCTURE;PROPER NAME
2;éa;;é-e.a-a;;;;Word_sym002a;;;0
3;ia;;i-i.a-a;;;;Word_ia;;;0
4;io;;i-i.o-o;;;;Word_io;;;0
5;ui;;u-y.i-i;;;;Word_ui;;;0
5;ué;;u-y.é-e;;;;Word_usym002;;;0
8;le;;l-l.e-*;;;;Word_le;;;0
8;la;;l-l.a-a;;;;Word_la;;;0
8;il;;i-i.l-l;;;;Word_il;;;0
8;lui;;l-l.u-8.i-i;;;;Word_lui;;;0
8;lu;;l-l.u-y;;;;Word_lu;;;0
8;allé;;a-a.ll-l.é-e;;;;Word_allsym002;;;0
8;lié;;l-l.i-i.é-e;;;;Word_lisym002;;;0
8;Eli;;é-e.l-l.i-i;;;;-;;;1
8;Lili;;l-l.i-i;;;;-;;;1
9;me;;m-m.e-*;;;;Word_me;;;0
9;ma;;m-m.a-a;;;;Word_ma;;;0
9;ami;;a-a.m-m.i-i;;;;Word_ami;;;0
9;mal;;m-m.a-a.l-l;;;;Word_mal;;;0
9;ému;;é-e.m-m.u-y;;;;Word_sym002mu;;;0
9;allumé;;a-a.ll-l.u-y.m-m.é-e;;;;Word_allumsym002;;;0
9;lama;;l-l.a-a.m-m.a-a;;;;Word_lama;;;0
9;Milo;;m-m.i-i.l-l.o-o;;;;-;;;1
10;Sami;;s-s.a-a.m-m.i-i;;;;-;;;1
10;se;;s-s.e-*;;;;Word_se;;;0
10;sa;;s-s.a-a;;;;Word_sa;;;0
10;si;;s-s.i-i;;;;Word_si;;;0
10;sol;;s-s.o-o.l-l;;;;Word_sol;;;0
10;os;;o-o.s-s;;;;Word_os;;;0
10;lys;;l-l.y-i.s-s;;;;Word_lys;;;0
10;salé;;s-s.a-a.l-l.é-e;;;;Word_salsym002;;;0
10;salua;;s-s.a-a.l-l.u-8.a-a;;;;Word_salua;;;0
