LESSON;GROUP;SENTENCE LESSON;ORTHOGRAPHY;WORD;WORD COUNT;GARDEN
6;1;6;Nina ana nia.;ana;3;3
6;1;6;Unaona nini?;nini;2;
6;2;6;Nora anaona eneo.;eneo;3;
6;2;6;Unaona nini?;Unaona;2;
6;3;6;Nina ana anuani.;ana;3;
6;3;6;Nani ana eneo?;eneo;3;
6;4;6;Nani ana eneo?;ana;3;
6;4;6;Nina ana nia.;nia;3;
6;5;6;Nani ana anuani?;anuani;3;
6;5;6;Nina ana nia.;ana;3;
6;6;6;Nora anaona eneo.;anaona;3;
6;6;6;Nani ana eneo?;eneo;3;
6;7;6;Nina ana anuani.;anuani;3;
6;7;6;Nina ana nia.;ana;3;
10;1;7;Nana na Nora wana uwiano.;na;5;5
10;1;8;Amina ana meno.;meno;3;
10;2;7;Nora na Nina wanaona eneo.;wanaona;5;
10;2;9;Waone wanachama wenu?;wenu;3;
10;3;10;Elimu ya awali ni nini?;ya;5;
10;3;8;Nina anaamua maeneo.;maeneo;3;
10;4;7;Nana uwe na Nina.;uwe;4;
10;4;8;Amina wamo Amana.;wamo;3;
10;5;8;Nana ameamua wawe maeneo.;wawe;4;
10;5;9;michuano wa uwiano;uwiano;3;
10;6;10;Maua ameilewa na nani?;Maua;4;
10;6;8;Mimi nina imani.;imani;3;
10;7;10;Yule ni mwalimu wao.;ni;4;
10;7;9;Mama ana chai.;chai;3;
14;1;13;Reli ina maili mia moja.;ina;5;7
14;1;12;Muwe na mawasiliano mema.;mema;4;
14;2;14;Leo ni harusi ya Nina.;harusi;5;
14;2;12;Asilimia mia ya mawe.;ya;4;
14;3;13;Riwaya ile ni maalum.;ile;4;
14;3;11;Miwa iyo minene.;minene;3;
14;4;13;Ramani ile ni maalum.;maalum;4;
14;4;11;Maua yenu maalum.;yenu;3;
14;5;13;Maua ana michoro minne.;minne;4;
14;5;14;Leo ni alhamisi.;ni;3;
14;6;13;Malori manane yamo milimani.;yamo;4;
14;6;12;Mwalimu amesema maneno.;maneno;3;
14;7;13;Amri ya masomo chuoni.;ya;4;
14;7;14;Maua aliwahi chuoni.;aliwahi;3;
18;1;15;Maua alicheza mechi na Nora.;alicheza;5;10
18;1;16;Chuoni hakukuwa na umeme.;umeme;4;
18;2;18;Bahari ya Pasifiki ni kubwa.;kubwa;5;
18;2;16;Nimemwona Maua akisoma maneno.;Maua;4;
18;3;15;Azimia la mwananchi ni nini?;nini;5;
18;3;17;Mama yumo nchini mwake.;yumo;4;
18;4;16;Nora alikuwa milimani akaona chui.;chui;5;
18;4;15;Mwalimu alielezea nini?;nini;3;
18;5;16;Nimemwona Nora akicheza na Maua.;Maua;5;
18;5;15;Chui huzaa wana.;huzaa;3;
18;6;18;Macho ya chui ni makubwa.;chui;5;
18;6;18;Hili ni bwawa kubwa.;kubwa;4;
18;7;17;Matokeo ya tuzo kwa watoto.;tuzo;5;
18;7;17;Huyu ni mzazi wetu.;wetu;4;
22;1;19;Hoja ya maazimio ni nini?;Hoja;5;12
22;1;21;Idadi ya watoto chuoni.;chuoni;4;
22;2;22;Hili ni bara la Afrika.;la;5;
22;2;21;Barabara mpya ya kudumu.;mpya;4;
22;3;21;Watoto wana bidii kwenye masomo.;Watoto;5;
22;3;20;Maua ana mpira mpya.;mpira;4;
22;4;21;Dawa ya mimea ni ipi?;mimea;5;
22;4;20;Asha ni mtoto pekee.;pekee;4;
22;5;22;Hii ni familia ya Maua.;familia;5;
22;5;20;Habari mpya ya leo.;mpya;4;
22;6;22;Rais Mandela alikuwa mtu maarufu.;mtu;5;
22;6;19;Kujua katiba ni muhimu.;katiba;4;
22;7;22;Nora ni rafiki wa Maua.;wa;5;
22;7;19;Umoja wa wananchi nchini.;nchini;4;
26;1;24;Maua yumo shule ya msingi.;shule;5;14
26;1;23;Mwezi agosti ni likizo.;likizo;4;
26;2;24;Hii ni rangi ya kijani.;kijani;5;
26;2;26;Miti hiyo huangusha majani.;hiyo;4;
26;3;24;Rais ni kiongozi wa nchi.;nchi;5;
26;3;26;Arusha kuna watalii wengi.;wengi;4;
26;4;25;Maua an wimbo wa kidini.;wimbo;5;
26;4;23;Mama ana mizigo mikubwa.;ana;4;
26;5;25;Watoto wanatambua umuhimu wa masomo.;Watoto;5;
26;5;24;Ulimwengu ni mkubwa sana.;sana;4;
26;6;26;Tanzania imo mashariki barani Afrika.;imo;5;
26;6;24;Huyu ni mtoto wangu.;mtoto;4;
26;7;26;"Wakila na wakishiba, wanalala sebuleni.";Wakila;5;
26;7;23;Maua ana chakula kidogo.;kidogo;4;
30;1;27;Juma na Maua ni ndugu.;ndugu;5;16
30;1;30;Rosa ameanza kufanya kazi.;kazi;4;
30;2;27;Rosa amefunga ndoa na Ikeno.;ndoa;5;
30;2;28;Vitabu vile ni vipya.;vile;4;
30;3;28;Hivi ni viti vya darasani.;Hivi;5;
30;3;30;Mwalimu alianza masomo darasani.;masomo;4;
30;4;28;Ifuatayo ni taarifa ya habari.;ni;5;
30;4;30;Maua alijifunza mengi.;habari;3;
30;5;29;Hawa ni wafanyakazi wa chuo.;chuoni;5;
30;5;27;Mechi ya Maua imeshindwa.;ya;4;
30;6;29;Kenyatta alikuwa rais wa Kenya.;rais;5;
30;6;27;Twiga ana shingo ndefu.;Twiga;4;
30;7;30;Chanzo cha malaria ni mbu.;mbu;5;
30;7;29;Mlima upo kwenye msitu.;upo;4;
34;1;31;Ardhi ya milimani ni bora.;ya;5;18
34;1;33;Dhahabu ni madini ghali.;ghali;4;
34;2;34;Thamani ya hela imeshuka.;hela;4;
34;2;33;Maua ameanguka ghafla.;ghafla;3;
34;3;32;Nora na Maua wapo njiani.;na;5;
34;3;31;Huyu mgonjwa yu dhaifu.;Huyu;4;
34;4;33;hili ni ghorofa refu sana.;refu;5;
34;4;34;Watoto wengi wanapenda hadithi.;wengi;4;
34;5;33;Lugha ya kiswahili ni nzuri.;nzuri;5;
34;5;31;Leo kuna dhoruba kali.;kuna;4;
34;6;34;Wazazi na walimu wanathamini watoto.;walimu;5;
34;6;31;Maua ameoata dharura nyumbani.;dharura;4;
34;7;34;Tamthiliya za watoto ni nzuri.;za;5;
34;7;32;Daraja la mtoni limevunjika.;mtoni;4;
37;1;36;Khanga ni vazi maarufu Tanzania.;vazi;5;20
37;1;35;Baba ana mvi.;mvi;3;
37;2;37;Ng'ambo ya mto kuna mlima.;ya;5;
37;2;36;Shekh yumo msikitini.;yumo;3;
37;3;37;Maua amening'iniza soksi kwenye kamba.;soksi;5;
37;3;35;jikoni kuna mvuke.;mvuke;3;
37;4;35;Chumvi ni kiungo muhimu.;Chumvi;4;
37;4;35;Maua hapendi ugomvi.;ugomvi;3;
37;5;35;Yai ni la mviringo.;la;4;
37;5;37;Nora anamung'unya pipi.;pipi;3;
37;6;35;Leo mvua kubwa imenyesha.;mvua;4;
37;6;37;Baba ana ng'ombe nane.;nane;4;
37;7;36;Alhamisi ni siku ya michuano uwanjani.;siku;4;
37;7;35;Mvulana huyu ni Juma.;huyu;4;
