LESSON;CHAPTER;LOWER CASE TEXT;SOUND PHONEME SYMBOL;SOUND NAME;ILLUSTRATIVE WORD;ILLUSTRATIVE WORD ENGLISH;REGULAR PHONEME;SYLLABIC STRUCTURE;TO TRACE;;
1;1;a;a;a;almasi;diamond;true;V;true;a;almasi
2;1;i;i;i;Iliki;cardamom;true;V;true;i;iliki
3;2;u;u;u;ufunguo;key;true;V;true;u;ufunguo
4;2;e;e;e;embe;mango;true;V;true;e;embe
5;3;o;o;o;ogelea;swim;true;V;true;o;ogelea
6;3;n;n;n;nanasi;pineapple;true;C;true;n;nanasi
7;4;w;w;w;waridi;rose;true;C;true;w;waridi
8;4;m;m;m;moto;fire;true;C;true;m;moto
9;5;ch;C;capital_c;chupa;bottle;true;C;true;capital_c;chupa
10;5;l;l;l;lozi;almond;true;C;true;l;lozi
11;6;y;y;y;yai;egg;true;V;true;y;yai
12;6;s;s;s;simu;telephone;true;C;true;s;simu
13;7;r;r;r;raba;sneakers;true;C;true;r;raba
14;7;h;h;h;hereni;earring;true;C;true;h;hereni
15;8;z;z;z;zabibu;grape;true;C;true;z;zabibu
16;8;k;k;k;kuku;chicken;true;C;true;k;kuku
17;9;t;t;t;twiga;giraffe;true;C;true;t;twiga
18;10;b;b;b;bakuli;bowl;true;C;true;b;bakuli
19;11;j;j;j;jogoo;rooster;true;C;true;j;jogoo
20;11;p;p;p;papa;shark;true;C;true;p;papa
21;12;d;d;d;duma;cheetah;true;C;true;d;duma
22;12;f;f;f;farasi;horse;true;C;true;f;farasi
23;13;g;g;g;gazeti;journal;true;C;true;g;gazeti
24;13;ng;@;arobase;ngoma;drum;true;C;true;arobase;ngoma
25;14;mb;B;capital_b;mbuzi;goat;true;C;true;capital_b;mbuzi
26;14;sh;S;capital_s;shati;shirt;true;C;true;capital_s;shati
27;15;nd;D;capital_d;ndizi;banana;true;C;true;capital_d;ndizi
28;15;v;v;v;vanila;vanilla;true;C;true;v;vanila
29;16;ny;N;capital_n;nyoka;snake;true;C;true;capital_n;nyoka
30;16;nz;Z;capital_z;inzi;fly;true;C;true;capital_z;inzi
31;17;dh;T;capital_t;dhumna;domino;true;C;true;capital_t;dhumna
32;17;nj;J;capital_j;njia;road;true;C;true;capital_j;njia
33;18;gh;%;percent;ghorofa;apartment;true;C;true;percent;ghorofa
34;18;th;H;capital_h;thelathini;thirty;true;C;true;capital_h;thelathini
35;19;mv;V;capital_v;mvua;rain;true;C;true;capital_v;mvua
36;19;kh;X;capital_x;khanga;swahili_traditional_fabric;true;C;true;capital_x;khanga
37;20;ng';N;capital_n;ng'ombe;cow;true;C;true;capital_n;ng'ombe
