LESSON;CHAPTER;NOTION ID;LECTURE VIDEO;LECTURE IMAGE;LECTURE TRACING;MINIGAME 1 SETUP;MINIGAME 2 SETUP;MINIGAME 3 SETUP
1;1;a-a;true;true;true;jellyfish;crabs;jellyfish
2;1;i-i;true;true;true;crabs;jellyfish;crabs
3;2;u-u;true;true;true;jellyfish;crabs;jellyfish
4;2;e-e;true;true;true;crabs;jellyfish;parakeets
5;3;o-o;true;true;true;jellyfish;crabs;crabs
6;3;n-n;true;true;true;jellyfish;ants;ants
7;4;w-w;true;true;true;jellyfish;crabs;parakeets
8;4;m-m;true;true;true;jellyfish;crabs;jellyfish
9;5;ch-C;true;true;true;jellyfish;crabs;parakeets
10;5;l-l;true;true;true;crabs;ants;ants
11;6;y-y;true;true;true;jellyfish;crabs;monkeys
12;6;s-s;true;true;true;crabs;monkeys;monkeys
13;7;r-r;true;true;true;crabs;monkeys;parakeets
14;7;h-h;true;true;true;jellyfish;ants;ants
15;8;z-z;true;true;true;jellyfish;monkeys;caterpillar
16;8;k-k;true;true;true;crabs;crabs;monkeys
17;9;t-t;true;true;true;jellyfish;monkeys;caterpillar
18;10;b-b;true;true;true;crabs;ants;ants
19;11;j-j;true;true;true;monkeys;parakeets;frog
20;11;p-p;true;true;true;jellyfish;monkeys;frog
21;12;d-d;true;true;true;crabs;monkeys;caterpillar
22;12;f-f;true;true;true;parakeets;ants;ants
23;13;g-g;true;true;true;crabs;monkeys;caterpillar
24;13;ng-@;true;true;true;monkeys;frog;turtles
25;14;mb-B;true;true;true;crabs;frog;turtles
26;14;sh-S;true;true;true;monkeys;ants;ants
27;15;nd-D;true;true;true;crabs;caterpillar;frog
28;15;v-v;true;true;true;jellyfish;caterpillar;turtles
29;16;ny-N;true;true;true;monkeys;frog;caterpillar
30;16;nz-Z;true;true;true;crabs;ants;ants
31;17;dh-T;true;true;true;monkeys;frog;caterpillar
32;17;nj-J;true;true;true;crabs;monkeys;turtles
33;18;gh-%;true;true;true;frog;caterpillar;turtles
34;18;th-H;true;true;true;monkeys;ants;ants
35;19;mv-V;true;true;true;crabs;frog;turtles
36;19;kh-X;true;true;true;monkeys;turtles;caterpillar
37;20;ng'-N;true;true;true;caterpillar;ants;ants
