LESSON;ORTHOGRAPHY;NB WORDS;AUDIOFILE NAME;WORD SWAP INDEX
6;Nina ana nia.;3;;
6;Nora anaona eneo.;3;;
6;Nina ana anuani.;3;;
6;Nani ana eneo?;3;;
6;Nani ana anuani?;3;;
6;Unaona nini?;2;;
7;Nina ana anwani.;3;;
7;Nana awe anaona.;3;;
7;Winnie awe nawe.;3;;
7;Nana uwe na Nina.;4;;
7;Nana na Nora wana uwiano.;5;;
7;Wana nini?;2;;
7;Wanao wenu wanane.;3;;
7;Nora na Nina wanaona eneo.;5;;
7;Wao ni nani?;3;;
7;Wewe ni nani?;3;;
8;Amina wamo Amana.;3;;
8;Nina ana amani.;3;;
8;Nana ameamua wawe maeneo.;4;;
8;Amina ana meno.;3;;
8;Amua maoni.;2;;
8;Amina anaamini wanae.;3;;
8;Nina anaamua maeneo.;3;;
8;Imani iwe imeenea.;3;;
8;Miwa naona imeenea.;3;;
8;Wanao wanaaminiwa.;2;;
8;Maneno naona mema.;3;;
8;Maono mema.;2;;
8;Maua manne.;2;;
8;Mimi nina imani.;3;;
8;Mwana wenu.;2;;
9;Maua machache.;2;;
9;Mama ana chai.;3;;
9;chui wenu;2;;
9;chuo cha nchi;3;;
9;macho mawili;2;;
9;mimea michache;2;;
9;michuano wa uwiano;3;;
9;mwananchi wa Wachina;3;;
9;uanachama wa chuo;3;;
9;waone wanachama wenu;3;;
10;Nora ana alama.;3;;
10;Nina aliacha chuo.;3;;
10;Mama aliamini neno.;3;;
10;Musa alimwoa Nana.;3;;
10;Maua ameilewa na nani?;4;;
10;Nora aliona chui.;3;;
10;Mama amelala.;2;;
10;Mira anaelewa nini?;3;;
10;Elimu ya awali ni nini?;5;;
10;Ilani ni nini?;3;;
10;mimea ileile michache.;3;;
10;Leo ni lini?;3;;
10;Mamilioni na wananchi;3;;
10;Milenia moja;2;;
10;Milima minane;2;;
10;Milioni mia;2;;
10;Niliona mwalimu;2;;
10;Yule ni mwalimu wao.;4;;
11;Mwanaume aliye chuoni;3;;
11;Mwanamama anayo anwani;3;;
11;Chuma inayo ncha;3;;
11;Miwa iyo minene;3;;
11;Moyo mema;2;;
11;Yaleyale maoni;2;;
11;Maua yenu maalum;3;;
11;Yeye mwanaumme maalum;3;;
11;Yule mwanao mwema;3;;
11;Mwana yumo nchini;3;;
12;Mwalimu amesema maneno;3;;
12;Maua anasoma Chuoni;3;;
12;Asilia ya mimea;3;;
12;Asilimia mia ya mawe;4;;
12;Leseni yenu;2;;
12;Maliasili ya mwananchi;3;;
12;Masomo mema;2;;
