CHAPTER;WORD;PSEUDO_WORD;#letters
4;au;eu;2
4;ua;ia;2
4;na;ni;2
4;wa;we;2
4;una;ene;3
4;iwe;iwi;3
4;ama;eme;3
4;mno;mni;3
4;eneo;inio;4
4;wenu;wini;4
4;nini;nunu;4
4;mama;meme;4
4;unene;unini;5
4;waone;waunu;5
4;namna;nemne;5
4;mnamo;mnini;5
5;la;lu;2
5;le;el;2
5;li;mi;2
5;na;ne;2
5;ila;ilu;3
5;ile;ele;3
5;ili;imi;3
5;leo;loe;3
5;chai;chee;4
5;chui;chei;4
5;acha;achu;4
5;lile;lilu;4
5;chini;chimu;5
5;chama;chomo;5
5;mechi;michi;5
5;elimu;alumu;5
6;ya;yi;2
6;au;io;2
6;ua;eu;2
6;wa;wo;2
6;yai;yaa;3
6;uso;use;3
6;mle;moa;3
6;mlo;mlu;3
6;yeye;yiyi;4
6;sana;sini;4
6;yale;yili;4
6;soma;sumo;4
6;yaani;yuuni;5
6;anaye;anoya;5
6;usome;usimi;5
6;asali;asulu;5
7;hu;he;2
7;ya;yu;2
7;la;le;2
7;li;lu;2
7;hii;hoo;3
7;huu;hee;3
7;huo;heu;3
7;hao;hoa;3
7;siri;sere;4
7;umri;umra;4
7;hili;hele;4
7;humo;hume;4
7;imara;imoro;5
7;hicho;huchu;5
7;uhuru;uhere;5
7;hichi;hocho;5
8;za;zu;2
8;hu;he;2
8;ya;yu;2
8;le;lu;2
8;zao;zio;3
8;kuu;kee;3
8;uko;uka;3
8;kiu;keo;3
8;hizi;hozo;4
8;hizo;huzi;4
8;ziwa;zuwu;4
8;meza;muzu;4
8;mzuri;mzoro;5
8;zoezi;zuiza;5
8;mzazi;mzuze;5
8;miaka;mouku;5
9;ua;eu;2
9;la;lu;2
9;ya;yo;2
9;au;ea;2
9;mti;mte;3
9;mto;mta;3
9;mtu;mut;3
9;kaa;kue;3
9;koti;kute;4
9;watu;wutu;4
9;timu;teme;4
9;moto;tomo;4
9;treni;nitre;5
9;kuita;kuetu;5
9;mkate;mkotu;5
9;mtoto;totom;5
10;na;nu;2
10;wa;wu;2
10;hu;he;2
10;la;lu;2
10;bei;bue;3
10;kwa;kwu;3
10;mwa;mwu;3
10;uko;uki;3
10;aibu;buia;4
10;baba;bubi;4
10;babu;bobo;4
10;baya;buyi;4
10;binti;bonto;5
10;buluu;bilii;5
10;kibao;kobua;5
10;ubora;uburu;5
11;li;lu;2
11;ua;eu;2
11;na;nu;2
11;wa;wu;2
11;jua;oja;3
11;juu;jee;3
11;mji;mju;3
11;paa;pui;3
11;jina;junu;4
11;jana;jono;4
11;pipi;pepe;4
11;jibu;jobo;4
11;jamaa;jumuu;5
11;jicho;chijo;5
11;mpira;mpuru;5
11;chupa;pucha;5
12;hu;he;2
12;za;zu;2
12;ya;yu;2
12;li;lu;2
12;fua;foa;3
12;dai;kai;3
12;doa;oda;3
12;dua;adu;3
12;dada;didi;4
12;duka;kadu;4
12;safi;sefe;4
12;feri;furu;4
12;dunia;runia;5
12;mdudu;mdidi;5
12;redio;rudoa;5
12;kofia;kufei;5
13;au;ui;2
13;le;ge;2
13;ya;gi;2
13;ua;uo;2
13;ipi;upu;3
13;paa;puu;3
13;pia;opo;3
13;huu;hoo;3
13;dogo;dugu;4
13;gani;gunu;4
13;gari;gero;4
13;goti;gutu;4
13;twiga;twugu;5
13;gitaa;gutuu;5
13;jengo;jingo;5
13;langu;longo;5
14;hu;he;2
14;na;nu;2
14;wa;wu;2
14;li;lu;2
14;bei;boa;3
14;mti;imt;3
14;kiu;uki;3
14;kuu;uku;3
14;embe;umbu;4
14;mbio;ombi;4
14;mmbu;mmbe;4
14;kesho;kushu;5
14;shule;sholo;5
14;shati;shutu;5
14;simba;sumba;5
14;tembo;tumbu;5
15;wa;wu;2
15;le;lu;2
15;la;lo;2
15;hu;ho;2
15;vaa;vuu;3
15;vua;uva;3
15;pua;poo;3
15;zao;zuu;3
15;vuta;vete;4
15;vema;vumu;4
15;vazi;vezo;4
15;ndio;nduu;4
15;tunda;tonde;5
15;ndogo;ndegu;5
15;ndugu;ndigi;5
15;ndani;ndunu;5
16;au;eu;2
16;ua;uu;2
16;le;lu;2
16;hu;ho;2
16;nzi;nyi;3
16;wao;wua;3
16;mno;mnu;3
16;leo;lue;3
16;nyie;nyui;4
16;anza;unzu;4
16;enzi;enza;4
16;nyoa;nyuo;4
16;ninyi;nunye;5
16;nyama;nyumu;5
16;nyani;nyuno;5
16;nzuri;nzora;5
17;ua;eo;2
17;la;lu;2
17;wa;wu;2
17;hu;he;2
17;nje;nju;3
17;ama;eme;3
17;awe;uwu;3
17;iwe;owo;3
17;njaa;anja;4
17;njoo;njuu;4
17;njia;njeo;4
17;nyoka;nyuku;5
17;njano;njunu;5
17;njema;njenje;5
17;ladha;ludhu;5
17;dhana;dhono;5
18;hu;su;2
18;ua;ea;2
18;ya;yo;2
18;li;le;2
18;yai;ayu;3
18;uso;eso;3
18;ile;ole;3
18;jua;ejo;3
18;mbio;umbi;4
18;mbwa;mbwu;4
18;vyao;evyu;4
18;vipi;vupi;4
18;ghali;ghola;5
18;lugha;legha;5
18;ghala;ghulu;5
18;viatu;tiavu;5
19;ua;vu;2
19;ya;vi;2
19;wa;ka;2
19;li;gu;2
19;mvi;mgu;3
19;huo;vuo;3
19;hao;oha;3
19;kiu;uki;3
19;mvua;khua;4
19;wenu;venu;4
19;ndio;guo;4
19;wewe;gege;4
19;mvuke;mghuke;5
19;kheri;vuru;5
19;mvuto;tomvu;5
19;wanao;onunu;5
20;na;gu;2
20;wa;vu;2
20;hu;ta;2
20;la;ka;2
20;ng'e;ng'u;4
20;ng'o;ng'i;4
20;ule;elu;3
20;ila;ali;3
20;ng'oa;ghou;5
20;nguo;angi;4
20;wema;pemu;4
20;maua;uamu;4
20;ng'ara;khara;6
20;ngumi;ng'ota;5
20;njema;njuku;5
20;namna;nanda;5
